,loss,nse,val_loss,val_nse
0,60253.01997395833,-4684062.0,11858.85294921875,-514583.3
1,15176.873550347222,-684575.1,2479.555408528646,-82772.85
2,8114.024351671007,-372673.25,3276.9785424804686,-137951.2
3,8373.645785590277,-543313.1,11664.066106770833,-481633.44
4,28649.10006184896,-1409770.1,22064.025755208335,-979076.6
5,18385.723953993056,-787387.9,152.39479787190754,-5444.701
6,4909.8369780654375,-178747.33,511.27736490885417,-18932.371
7,4415.207068142361,-213246.83,1216.5772599283855,-45591.1
8,2240.350693359375,-120261.766,359.876309000651,-12267.239
9,1416.4165852864583,-56171.3,583.605625,-22573.33
10,1087.7664985216988,-41849.723,402.1572001139323,-16695.727
11,533.6742442491319,-39063.617,418.3253540039062,-17248.299
12,754.7360498046875,-34776.8,115.55151021321615,-6629.436
13,296.6381229315864,-10881.563,51.574661814371744,-1981.9851
14,261.40493136935766,-62722.477,40.88525970458984,-1749.8961
15,614.7008770073785,-26191.602,4.196532967885335,-168.73116
16,247.06058051215277,-11311.51,5.00158088684082,-225.03593
17,149.5233947753906,-8587.07,179.37570353190105,-9411.311
18,457.10692928738064,-19258.209,22.504991518656414,-915.423
19,249.3203046374851,-11185.833,5.7171449932456015,-186.01534
20,151.93932189941407,-12091.519,25.14718432108561,-727.3848
21,104.33094441731771,-4839.25,48.920282974243165,-1770.9506
22,63.57661929660373,-3128.8655,5.659806121190389,-242.87859
23,46.36855184766981,-2082.701,10.996472714742024,-409.29105
24,38.890601264105904,-1664.4463,3.868492972056071,-192.15024
25,34.626300964355465,-1474.1523,1.0105817826588948,-34.87609
26,31.321462607913546,-1764.1522,7.971206321716308,-305.7394
27,27.17174826727973,-1185.7733,7.458038908640543,-271.06067
28,41.30091080685457,-1908.9822,43.47220722198486,-1549.4933
29,59.01295096503364,-5632.1914,1.1741016372044881,-56.262917
30,30.72397933430142,-1507.8768,0.8972483317057292,-46.228233
31,20.129696684943305,-951.5838,1.5278836059570313,-43.3916
32,22.46640291849772,-913.85614,15.883188349405925,-512.3285
33,31.239093153211805,-1236.9365,14.722766914367675,-563.88495
34,60.096109280056424,-3867.5964,9.785391228993733,-344.26663
35,63.82741563585069,-2946.3005,10.479808489481607,-487.65292
36,58.07501903533935,-2531.291,32.42736231486003,-1466.6819
37,55.935078396267365,-2777.5334,51.44008260091146,-2034.6058
38,71.21840911017524,-3044.8552,6.01397868792216,-213.7732
39,55.93537407769097,-3325.8643,9.83495018641154,-327.8772
40,108.481731681029,-4962.36,5.6236187330881755,-205.75171
